Bedrooms,Bathrooms,LivingSQFT,Age,DistToWH,LotSize,ListingType,Floors,CountySchool,Garage,Price
4,5,3250,6,5432.544957,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1700000
5,5,5574,3,9087.230754,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1585000
4,5,3548,94,4548.825209,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1549000
4,5,3826,67,7157.924603,0.26,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1349000
4,5,4884,16,8106.046994,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1329000
5,4,3318,64,7996.296156,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1108300
3,3,1800,0,8693.653046,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,849990
3,4,1686,6,6966.701578,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,839950
3,4,1836,87,5878.207588,0.12,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,829950
3,2,1936,80,5802.594124,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,829000
4,2,1281,81,9223.558458,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,799900
4,2,1824,73,7491.128608,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,768000
2,1,936,89,7871.607751,0.26,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,0,710000
2,3,2108,11,7272.267176,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,629000
2,1,814,14,6945.217369,0.02,Condo/Townhome,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,449500
5,5,6278,13,8131.28118,0.35,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2199000
3,3,2525,84,5761.406735,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1100000
2,1,1058,70,9014.161948,0.29,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,0,874900
3,2,1550,75,9768.762306,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,865000
5,2,2366,67,10859.45673,0.27,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,4,850000
3,2,1954,104,5627.491416,0.12,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,775000
4,2,1196,71,8149.278656,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,749900
3,2,1192,79,6250.603108,0.14,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,650000
4,5,3510,0,7737.144798,0.12,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1399000
4,5,3308,11,6984.772958,0.03,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1200000
4,4,4424,41,6063.376254,0.05,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,999000
5,5,4607,0,7174.210221,0.39,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1699990
3,2,1092,71,8379.667206,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,569900
2,1,816,69,8657.988508,0.07,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,324900
5,5,3684,13,9030.096069,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1499999
3,3,2170,79,8544.831417,0.15,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,0,845000
6,4,4568,52,7292.466821,0.49,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1750000
4,5,2700,75,9592.539156,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,995000
6,8,7232,3,9506.402455,0.89,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2895000
5,5,3970,6,5599.345557,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1298000
7,6,4388,81,7492.935331,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1099000
4,4,2130,78,8153.813804,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1055000
4,3,3016,65,8425.174442,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,875000
3,2,1213,66,9609.962464,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,850000
3,4,1665,22,6449.545999,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,750000
2,2,1135,69,8272.680909,0.14,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,0,730000
4,3,1258,80,8776.04213,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,695000
3,2,1040,79,4539.542148,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,574000
4,4,2686,52,5738.718843,0.07,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,988000
3,3,1940,22,7085.30979,0.03,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,910000
3,3,2490,62,9047.98327,0.16,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,849900
3,2,1649,80,9338.893755,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,817500
4,2,1960,66,9077.681097,0.14,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,814900
3,2,1766,72,9342.57372,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,799999
3,2,1386,99,7586.801069,0.31,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,785000
3,2,1144,72,7483.802885,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,749999
3,1,1405,75,5140.481126,0.1,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,3,650000
3,4,2350,40,7959.794792,0,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,590000
6,6,5600,5,9317.421642,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1849000
5,6,5089,11,10448.01133,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1699900
3,5,2962,24,3414.31183,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1470000
4,4,2822,68,10288.04572,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1200000
4,3,3250,40,7076.925754,0.51,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1000000
3,1,1170,70,7099.229966,0.15,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,750000
3,2,1708,75,9770.678518,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,699000
2,2,1040,11,5759.145965,0.02,Condo/Townhome,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,689000
2,3,1332,30,8149.558587,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,449900
5,5,5794,1,13890.35019,0.24,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,1949000
5,8,2590,60,5404.292684,0.94,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1550000
4,4,2900,83,8273.954982,0.24,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1499000
3,3,2000,82,6843.110631,0.09,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,885000
4,3,1504,65,6113.789709,0.21,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,725000
2,3,1605,43,4516.960486,0,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,658000
3,2,1044,63,8023.09874,0.08,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,454500
3,3,2064,66,6903.770684,0.29,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,940000
4,4,2880,38,7443.726626,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,849500
3,4,2074,79,8540.021009,0.12,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,885999
4,4,2583,81,8696.001389,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,999500
5,4,3517,115,6325.021921,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,975000
4,3,2254,58,5747.150861,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,939700
5,2,2862,63,8178.769257,0.17,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,875000
3,4,2416,11,6433.701608,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,825000
5,4,2190,81,7315.193934,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,779000
2,1,940,81,10290.7635,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,750000
5,5,4700,2,9336.531325,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1485000
4,5,4250,58,7489.841791,0.46,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1249950
3,3,1915,68,5621.671521,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,949900
4,3,2528,58,9429.490807,0.17,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,805000
4,2,732,79,8278.446864,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,689500
4,5,6050,19,6184.600558,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1499900
3,2,2022,77,10164.67293,0.12,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,859500
4,5,1866,31,6580.158952,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,839900
3,2,1808,57,5880.437431,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,810000
2,1,1020,80,6034.44568,0.07,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,470000
6,6,5280,3,10423.90164,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1199900
2,2,1182,67,7962.953509,0.08,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,399900
5,5,5263,16,10019.36018,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1450000
